model=resnet50d device=cuda fold_arg=all
cavity  large  medium  none  small
fold                              
0          12      12    49     16
1          11      13    49     16
2          11      13    50     15
3          11      12    49     16
4          12      11    50     16
[resnet50d] fold1 ep22  loss=0.0066  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.660  (45.6s)
[resnet50d] fold1 ep23  loss=0.0018  score=0.7600 acc=0.7978 dice=0.6719 tau*=0.600  (46.0s)
[resnet50d] fold1 ep24  loss=0.0053  score=0.7600 acc=0.7978 dice=0.6719 tau*=0.565  (47.0s)
[resnet50d] fold1 BEST: {'score': 0.8062921348314604, 'tau': 0.7749999999999999, 'acc': 0.8426966292134831, 'dice': 0.7213483146067414, 'epoch': 4}  -> /workspace/Code/runs/resnet50d/fold1_best.pt
[resnet50d] fold 2: 23.5M params, train=355 val=89 pos_weight=1.247
[resnet50d] fold2 ep00  loss=0.6956  score=0.6517 acc=0.6854 dice=0.5730 tau*=0.610  (45.9s)
[resnet50d] fold2 ep01  loss=0.3473  score=0.7321 acc=0.7753 dice=0.6315 tau*=0.455  (49.6s)
[resnet50d] fold2 ep02  loss=0.2179  score=0.7276 acc=0.7640 dice=0.6427 tau*=0.310  (47.0s)
[resnet50d] fold2 ep03  loss=0.1569  score=0.7546 acc=0.7978 dice=0.6539 tau*=0.455  (50.9s)
[resnet50d] fold2 ep04  loss=0.1053  score=0.7263 acc=0.7640 dice=0.6382 tau*=0.525  (48.0s)
[resnet50d] fold2 ep05  loss=0.0921  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.485  (48.3s)
[resnet50d] fold2 ep06  loss=0.0611  score=0.7492 acc=0.7978 dice=0.6360 tau*=0.175  (45.6s)
[resnet50d] fold2 ep07  loss=0.0539  score=0.7447 acc=0.7865 dice=0.6472 tau*=0.235  (48.2s)
[resnet50d] fold2 ep08  loss=0.0189  score=0.7587 acc=0.7978 dice=0.6674 tau*=0.490  (48.4s)
[resnet50d] fold2 ep09  loss=0.0200  score=0.7587 acc=0.7978 dice=0.6674 tau*=0.570  (48.5s)
[resnet50d] fold2 ep10  loss=0.0438  score=0.7362 acc=0.7753 dice=0.6449 tau*=0.395  (47.6s)
[resnet50d] fold2 ep11  loss=0.0362  score=0.7294 acc=0.7753 dice=0.6225 tau*=0.100  (46.6s)
[resnet50d] fold2 ep12  loss=0.0158  score=0.7209 acc=0.7640 dice=0.6202 tau*=0.060  (45.8s)
[resnet50d] fold2 ep13  loss=0.0123  score=0.7303 acc=0.7640 dice=0.6517 tau*=0.850  (46.3s)
[resnet50d] fold2 ep14  loss=0.0106  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.145  (48.5s)
[resnet50d] fold2 ep15  loss=0.0238  score=0.7492 acc=0.7978 dice=0.6360 tau*=0.055  (49.0s)
[resnet50d] fold2 ep16  loss=0.0102  score=0.7196 acc=0.7640 dice=0.6157 tau*=0.100  (47.9s)
[resnet50d] fold2 ep17  loss=0.0065  score=0.7065 acc=0.7416 dice=0.6247 tau*=0.465  (46.5s)
[resnet50d] fold2 ep18  loss=0.0120  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.140  (46.9s)
[resnet50d] fold2 ep19  loss=0.0161  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.150  (48.5s)
[resnet50d] fold2 ep20  loss=0.0026  score=0.7222 acc=0.7640 dice=0.6247 tau*=0.130  (46.3s)
[resnet50d] fold2 ep21  loss=0.0051  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.070  (47.1s)
[resnet50d] fold2 ep22  loss=0.0040  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.065  (48.2s)
[resnet50d] fold2 ep23  loss=0.0080  score=0.7308 acc=0.7753 dice=0.6270 tau*=0.080  (47.8s)
[resnet50d] fold2 ep24  loss=0.0101  score=0.7209 acc=0.7640 dice=0.6202 tau*=0.065  (53.0s)
[resnet50d] fold2 BEST: {'score': 0.7586516853932583, 'tau': 0.48999999999999994, 'acc': 0.797752808988764, 'dice': 0.6674157303370787, 'epoch': 8}  -> /workspace/Code/runs/resnet50d/fold2_best.pt
[resnet50d] fold 3: 23.5M params, train=356 val=88 pos_weight=1.253
[resnet50d] fold3 ep00  loss=0.6947  score=0.6564 acc=0.6932 dice=0.5705 tau*=0.555  (47.0s)
[resnet50d] fold3 ep01  loss=0.3316  score=0.7132 acc=0.7500 dice=0.6273 tau*=0.310  (47.6s)
[resnet50d] fold3 ep02  loss=0.1732  score=0.7218 acc=0.7614 dice=0.6295 tau*=0.195  (45.3s)
[resnet50d] fold3 ep03  loss=0.1535  score=0.7173 acc=0.7500 dice=0.6409 tau*=0.780  (45.2s)
[resnet50d] fold3 ep04  loss=0.1272  score=0.7500 acc=0.7841 dice=0.6705 tau*=0.625  (46.2s)
[resnet50d] fold3 ep05  loss=0.0778  score=0.6927 acc=0.7159 dice=0.6386 tau*=0.890  (48.5s)
[resnet50d] fold3 ep06  loss=0.0871  score=0.7359 acc=0.7727 dice=0.6500 tau*=0.935  (49.7s)
[resnet50d] fold3 ep07  loss=0.0805  score=0.7445 acc=0.7841 dice=0.6523 tau*=0.465  (48.8s)
[resnet50d] fold3 ep08  loss=0.0709  score=0.7241 acc=0.7500 dice=0.6636 tau*=0.910  (46.9s)
[resnet50d] fold3 ep09  loss=0.0284  score=0.7259 acc=0.7614 dice=0.6432 tau*=0.645  (49.3s)
[resnet50d] fold3 ep10  loss=0.0251  score=0.7445 acc=0.7841 dice=0.6523 tau*=0.910  (45.4s)
[resnet50d] fold3 ep11  loss=0.0298  score=0.7473 acc=0.7841 dice=0.6614 tau*=0.910  (49.6s)
[resnet50d] fold3 ep12  loss=0.0285  score=0.7400 acc=0.7727 dice=0.6636 tau*=0.870  (46.1s)
[resnet50d] fold3 ep13  loss=0.0073  score=0.7300 acc=0.7614 dice=0.6568 tau*=0.920  (48.5s)
[resnet50d] fold3 ep14  loss=0.0123  score=0.7218 acc=0.7614 dice=0.6295 tau*=0.390  (47.1s)
[resnet50d] fold3 ep15  loss=0.0284  score=0.7300 acc=0.7614 dice=0.6568 tau*=0.945  (49.1s)
[resnet50d] fold3 ep16  loss=0.0041  score=0.7145 acc=0.7500 dice=0.6318 tau*=0.925  (46.3s)
[resnet50d] fold3 ep17  loss=0.0080  score=0.7077 acc=0.7500 dice=0.6091 tau*=0.505  (47.6s)
[resnet50d] fold3 ep18  loss=0.0020  score=0.7177 acc=0.7614 dice=0.6159 tau*=0.490  (48.8s)
[resnet50d] fold3 ep19  loss=0.0050  score=0.7177 acc=0.7614 dice=0.6159 tau*=0.560  (50.4s)
